misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,7560,226,-0.5211940058346453,0.2644270695745945,-0.0018056057393550872,0.06336615644395352
40,14760,235,-0.04233585328471904,0.45507263839244844,-0.001711825281381607,0.08561273321975023
60,21960,235,-0.258992554211035,0.4462571978569031,-0.008343151106964796,0.2853991781827062
80,29160,235,0.026145368814468384,0.6312082171440124,-0.004465898871421814,0.10534412302076816
100,36360,234,-0.17553773641586304,0.5413608938455582,-0.006545056402683258,0.18896030059549956
120,43560,233,-0.40132299304008484,0.7081990778446198,-0.004633424151688814,0.4284845232963562
140,50760,232,-0.6878543758392334,0.7978562891483307,-0.005537395738065243,0.32577937096357346
160,57960,233,0.17100027024745942,0.7485902667045593,-0.0022431120276451113,0.33082742877304555
180,65160,232,-1.1708228850364686,0.34610472023487093,-0.0003528490662574768,0.4127741649746895
200,72360,231,-1.5169675552845001,0.17590970546007156,-0.00041479673236608503,0.4091774120926857
220,79560,231,-1.1206645226478578,0.2033808097243309,-0.000572485476732254,0.21926789060235025
240,86760,230,-1.1742524647712707,0.2923181265592575,-0.0029304809868335724,0.5398926734924316
260,93960,229,-0.8742385268211365,0.7315227031707764,-0.00715557630173862,0.17281426042318343
280,101160,230,-0.7165301430225373,0.5384281635284424,-0.0038425788283348084,0.06248155720531941
300,108360,232,0.10532906293869018,0.4963694393634796,-0.004927869141101837,0.11736896955408156
320,115560,232,0.7716000807285309,0.6252864718437194,-0.008801981061697006,0.13307370245456696
340,122760,232,0.8967282456159592,0.48198921978473663,-0.007071571052074432,0.08614668324589729
360,129960,232,0.024497455358505248,0.37864337414503096,-0.013071195781230926,0.07423141556791961
380,137160,232,0.014552693367004394,0.5218224912881851,-0.0029545098543167113,0.06754939728416502
400,144360,233,-0.6609124702215194,0.30969480276107786,-0.0011959418654441834,0.07167202862910926
420,151560,233,-0.5883643618226051,0.10145591646432876,-0.0033456206321716307,0.08389175696265738
440,158760,232,-0.6223346874117851,0.3593393832445145,-0.00430682934820652,0.00031821732263779266
460,165960,232,-0.6402932646870613,0.6684078335762024,-0.004475979506969452,0.060780481435358524
480,173160,233,-0.3267179194092751,0.864918339252472,0.004266011714935303,0.09590906194644049
500,180360,233,-0.20496000945568085,0.59961998462677,-0.009175270050764083,0.05939377471222542
520,187560,233,-0.2604741859436035,0.7287130296230316,-0.0017726331949234008,0.04595464399899356
540,194760,233,-0.09782550871372223,0.6855561554431915,-0.004536877188365906,0.22484070351347327
560,201960,233,0.38319688677787783,0.759044086933136,-0.009807178005576133,0.49392824321985246
580,209160,234,-0.10815658926963806,0.9059657990932465,-0.008171757124364376,0.12170159928500653
600,216360,234,0.024812630414962768,0.8232384324073792,-0.0012174829840660094,0.059952852921560405
620,223560,234,0.4589580434560776,0.8633052110671997,-0.004690055921673775,0.1314966922160238
640,230760,234,0.763133112192154,0.8946831285953522,-0.007520101964473724,0.3861538786441088
660,237960,234,0.30323987066745756,0.9803769290447235,-0.0028771946439519525,0.26457942724227906
680,245160,235,-0.25414354145526885,0.7776052951812744,-0.0014554016292095185,0.05509259272366762
700,252360,235,-0.19588011026382446,0.8969304740428925,-0.009046008810400963,0.14523482844233512
720,259560,235,0.6126373100280762,0.715552830696106,-0.004249000549316406,0.170302836317569
740,266760,235,1.0292350089550018,0.5303424060344696,-0.0043014804366976024,0.008403746050316841
760,273960,236,1.1037790584564209,0.8893128275871277,-0.004582260549068451,0.043935666372999546
780,281160,236,1.30207716524601,0.750363689661026,-0.003396729379892349,0.036566317302640525
800,288360,236,1.396261767745018,0.9292666196823121,-0.002310493588447571,0.01449514064588584
820,295560,236,0.685312380194664,0.5819899618625641,-0.0023452585563063623,0.1547964335186407
840,302760,236,0.7323801133036614,0.5516023486852646,-0.0006577484309673309,0.15734045442659408
860,309960,236,0.5258498218655586,0.6648318231105804,-0.0018093571066856383,0.32825942649506035
880,317160,236,0.1257905289530754,0.4412157952785492,-0.009804057329893113,0.051367805746849626
900,324360,236,0.46752202600240705,0.6952560126781464,-0.005458249151706696,0.1986808738380205
920,331560,236,0.27891255617141725,0.7790770351886749,-0.00235850578173995,0.4073060929775238
940,338760,236,-0.41280772984027864,0.7709412217140198,-0.008280439674854279,0.02917952347488608
960,345960,236,-0.7275028711557389,0.516124302148819,-0.008484704792499543,0.0698636407032609
980,353160,236,-0.6605832731723785,0.8742017686367035,-0.0014428939670324326,0.1643988572061062
1000,360360,236,-0.46784519016742704,0.9053349375724793,-0.009953166265040636,0.0524731108918786
1020,367560,236,-0.56722894012928,0.5209631711244583,-0.004226697981357575,0.03268122682347894
1040,374760,236,-0.04040512979030609,0.5911738693714141,-0.0012478317599743604,0.13924968666397036
1060,381960,236,0.0675862717628479,0.6228472292423248,-0.013458377122879029,0.16388833377277479
1080,389160,236,0.18021733462810516,0.5147448599338531,-0.007586284354329109,0.10324469992192462
1100,396360,236,0.4829573482275009,0.5257236361503601,-0.005439413012936711,0.17855193642899395
