misc/nupdates,misc/total_timesteps,fps,eprewmean
20,7560,41,-1.338483435266158
40,14760,41,-1.7451942283660173
60,21960,41,-1.7629558348909338
80,29160,41,-1.8378564635319496
100,36360,41,-1.862059887226035
120,43560,41,-1.8147992476200063
140,50760,41,-1.867211027443409
160,57960,41,-1.9135872495174409
180,65160,41,-1.9628333362936974
200,72360,41,-1.9662180384993553
220,79560,41,-1.9647840392589568
240,86760,41,-2.0209960225224495
260,93960,41,-1.9719577470421792
280,101160,41,-1.966759521663189
300,108360,41,-1.9650179356336595
320,115560,41,-1.908618665933609
340,122760,41,-1.9177993887662887
360,129960,41,-1.9201484042406083
380,137160,41,-1.939656254053116
400,144360,40,-2.022950437068939
420,151560,40,-2.0020254868268967
440,158760,40,-2.0580247473716735
460,165960,40,-2.0247972074151037
480,173160,40,-2.04659169703722
500,180360,40,-2.063785606920719
520,187560,40,-2.006799694597721
540,194760,40,-2.005879787802696
560,201960,40,-2.008615166544914
580,209160,40,-2.0611969688534737
600,216360,40,-1.9791718217730523
620,223560,40,-1.968904282748699
640,230760,40,-2.000939953625202
660,237960,40,-1.9682968932390212
680,245160,40,-1.9428911811113359
700,252360,40,-1.9201158446073532
720,259560,40,-1.9747784984111787
740,266760,40,-2.0350506252050398
760,273960,40,-1.9815312534570695
780,281160,40,-1.9461481955647468
800,288360,40,-1.8869307419657708
820,295560,40,-1.8842908802628517
840,302760,40,-1.8894307747483254
860,309960,40,-1.8288918748497962
880,317160,40,-1.8500696742534637
900,324360,40,-1.9081948307156562
920,331560,40,-1.9691569924354553
940,338760,40,-1.9404585826396943
960,345960,40,-1.942570497393608
980,353160,40,-1.9665515631437303
1000,360360,40,-1.9409826108813286
1020,367560,40,-1.9943538117408752
1040,374760,40,-1.9452172473073006
1060,381960,40,-1.9715037432312965
1080,389160,40,-1.9150943711400032
1100,396360,40,-1.9408485850691795
1120,403560,40,-2.001918058991432
1140,410760,40,-1.9458192202448845
1160,417960,40,-1.999751366376877
1180,425160,40,-1.9744891452789306
1200,432360,40,-1.921710512638092
1220,439560,40,-1.929118847846985
1240,446760,40,-1.8991984364390373
1260,453960,40,-1.9288250902295112
1280,461160,40,-1.9567233237624169
1300,468360,40,-2.018442590534687
1320,475560,40,-2.0952422693371773
1340,482760,40,-2.0816612866520883
1360,489960,40,-2.106431391835213
1380,497160,40,-2.0873431676626204
1400,504360,40,-2.1217626976966857
1420,511560,40,-2.081237967014313
1440,518760,40,-2.0791802376508715
1460,525960,40,-2.0632371443510054
1480,533160,40,-2.005404713153839
1500,540360,40,-1.975019525885582
1520,547560,40,-1.9715871846675872
