epoch,loss,act_loss,kl_loss,beta
1,2.0524957017041743,2.0476218262920156,0.004873874789609545,5e-07
2,1.028862730745459,1.0227665404381696,0.006096191058986733,5e-07
3,0.9328608016803628,0.9264135771081783,0.006447224279781949,5e-07
4,0.7705020127759781,0.7636374720314052,0.006864542275252461,5e-07
5,0.6602042494923808,0.6530855753808282,0.007118674426692451,5e-07
6,0.591017176528112,0.5838145041780081,0.007202673626579781,5e-07
7,0.5511322558741085,0.5438477788411546,0.00728447669871457,5e-07
8,0.5075929517479381,0.5002321127540199,0.0073608390416666225,5e-07
9,0.4816721049573971,0.4744737428991357,0.00719836199459678,5e-07
10,0.4437711451901123,0.43669238840811886,0.007078757928866253,5e-07
11,0.3971699522808194,0.39024297770811245,0.006926974828729726,5e-07
12,0.3859893415210536,0.37931744249362964,0.006671898981949198,5e-07
13,0.34761828400951345,0.34121563253575005,0.006402651513326418,5e-07
14,0.33894701549434103,0.3328795834531775,0.0060674323071907565,5e-07
15,0.3331491795979673,0.32742305425927043,0.00572612560381458,5e-07
16,0.3143406700255582,0.3088890404760605,0.005451629616800346,5e-07
17,0.2936110339942388,0.2882779497595038,0.005333084056928783,5e-07
18,0.2922202151676174,0.2870915266685188,0.005128688508648338,5e-07
19,0.27902920058113523,0.2740288174682064,0.005000383347578463,5e-07
20,0.26756326186296064,0.2626470988325309,0.0049161634856318415,5e-07
21,0.24763775449537206,0.24276279300102033,0.004874961473888106,5e-07
22,0.25081554062489886,0.24604496540268883,0.004770575307247782,5e-07
23,0.2354814303398598,0.23073052542895311,0.004750904462980543,5e-07
24,0.23226968896051403,0.22759670962113887,0.004672979252518417,5e-07
25,0.21958160982467234,0.21496299086720683,0.0046186189133550215,5e-07
26,0.22617702432035003,0.22164709138451144,0.0045299334528863255,5e-07
27,0.21284118129551644,0.20830116148135858,0.004540020004242251,5e-07
28,0.20498726214282215,0.2004505132063059,0.004536748900591192,5e-07
29,0.2135556899011135,0.2090507945176796,0.004504895595800917,5e-07
30,0.20176973870547954,0.1972680997714633,0.004501639075442654,5e-07
31,0.19341370955953607,0.18891958105086815,0.0044941286359971855,5e-07
32,0.18904258753173053,0.18454672315419884,0.0044958646080885956,5e-07
33,0.18504636132274754,0.18057941628649132,0.004466945248168486,5e-07
34,0.1799375616319594,0.1754734446585644,0.004464117092993547,5e-07
35,0.1744216728475294,0.16996249835938215,0.0044591741466319945,5e-07
36,0.17709560559887905,0.17262452751310775,0.004471077816106117,5e-07
37,0.16906897640728857,0.16460676088900073,0.0044622154546232196,5e-07
38,0.16589627649227623,0.16144142175471643,0.004454854733012326,5e-07
39,0.15849646025890252,0.15402258463291219,0.004473875575058628,5e-07
40,0.15747695082245627,0.1530000868588104,0.004476864021853544,5e-07
41,0.15736842608021107,0.15288305831199978,0.004485367832785414,5e-07
42,0.15202504324406618,0.1475379359544604,0.00448710730051971,5e-07
43,0.14732219403231284,0.14282876158540603,0.004493432402796316,5e-07
44,0.14818450518214377,0.14369587803230388,0.004488627209866536,5e-07
45,0.14311955354787642,0.1386143477866426,0.004505205737586948,5e-07
46,0.1409820421540644,0.13646139614866115,0.004520646134096751,5e-07
47,0.13775670799077488,0.13322431571577908,0.004532392196779256,5e-07
48,0.13565790837310487,0.13111743325862335,0.004540475179965142,5e-07
49,0.13302603625925258,0.1284802374066203,0.0045457989558599365,5e-07
