misc/nupdates,misc/total_timesteps,fps,eprewmean
20,7560,42,-1.3832558644445319
40,14760,41,-1.639940033940708
60,21960,41,-1.732294596110781
80,29160,41,-1.8051907858162215
100,36360,41,-1.7049272594655431
120,43560,41,-1.7368814048046868
140,50760,41,-1.7886134791374206
160,57960,41,-1.85712407797575
180,65160,41,-1.86200310587883
200,72360,41,-1.839641821682453
220,79560,41,-1.933362214267254
240,86760,41,-1.9300778868794441
260,93960,41,-1.9010544493794441
280,101160,41,-1.9364344754815102
300,108360,41,-1.8820798549056053
320,115560,41,-1.8739663276076317
340,122760,41,-1.842276829779148
360,129960,41,-1.8436637863516807
380,137160,41,-1.8355613872408867
400,144360,41,-1.8526464912295342
420,151560,41,-1.8044379526376724
440,158760,41,-1.813279209434986
460,165960,41,-1.7856164982914924
480,173160,41,-1.784831695854664
500,180360,41,-1.7675152072310447
520,187560,41,-1.7255767378211022
540,194760,41,-1.7722071647644042
560,201960,41,-1.755711115002632
580,209160,41,-1.7598768648505212
600,216360,41,-1.807372889816761
620,223560,41,-1.815962533056736
640,230760,41,-1.7749185180664062
660,237960,41,-1.7063205635547638
680,245160,41,-1.734111841917038
700,252360,41,-1.6706260731816291
720,259560,41,-1.6420229676365852
740,266760,41,-1.6297685280442238
760,273960,41,-1.6615166556835175
780,281160,40,-1.7444879859685898
800,288360,40,-1.7300430366396904
820,295560,40,-1.6388983884453774
840,302760,41,-1.5871552965044975
860,309960,41,-1.4747212329506874
880,317160,41,-0.9541949671506882
900,324360,41,-0.8353055000305176
920,331560,41,-0.8866824960708618
940,338760,41,-0.9684192287921906
960,345960,41,-0.8638436505198479
980,353160,41,-0.4398622664809227
1000,360360,41,-0.41283271193504334
1020,367560,41,-0.002343706488609314
1040,374760,41,-0.007594982981681824
1060,381960,41,-0.006993801593780518
1080,389160,41,-0.1803968220949173
1100,396360,41,-0.7070215103030205
1120,403560,41,-1.135935677587986
1140,410760,41,-1.6749807155132295
1160,417960,41,-1.931717500090599
1180,425160,41,-1.944859383702278
1200,432360,41,-1.7774065726995467
1220,439560,41,-1.61658332914114
1240,446760,41,-1.6350801512598991
