misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,7560,226,0.7000933708371343,0.42122222781181334,-0.004677897691726685,0.3080874375998974
40,14760,229,0.7089281165599823,0.36700167059898375,-0.00462476909160614,0.10824223048985004
60,21960,234,0.7518622833490372,0.44485670924186704,-0.0013435903936624527,0.17718924544751644
80,29160,231,0.3756982409954071,0.6470782101154328,-0.0034724757075309753,0.2100866235792637
100,36360,230,0.503651013970375,0.7544071674346924,0.002442294731736183,0.09121195672196336
120,43560,229,1.2837807416915894,0.7245154678821564,-0.00620871209539473,0.005334185902029276
140,50760,228,1.300538176894188,0.7140463352203369,-0.002786935493350029,0.0269657370634377
160,57960,229,0.9336218732595444,0.47205887734889984,-0.0022509288042783736,0.29907284341752527
180,65160,230,0.8805733650922776,0.5084578514099121,-0.002702750265598297,0.1292353002820164
200,72360,232,0.21226254522800445,0.6295949667692184,-0.005646270513534546,0.06291359178721904
220,79560,236,0.27068764209747315,0.8105430841445923,-0.0022830262780189512,0.13919969806447624
240,86760,236,0.856804006099701,0.6386447817087173,-0.008608636911958456,0.029212603531777858
260,93960,237,1.548421242237091,0.6388808965682984,-0.0080156821757555,0.13756038043648006
280,101160,237,2.0029778134822847,0.7188256859779358,-0.0040863178670406345,0.6063459135591984
300,108360,237,1.6382447636127473,0.6410090953111649,-0.004772602021694184,0.21799997203052043
320,115560,237,0.9006040191650391,0.5364527374505996,-0.003915972635149955,0.46480457186698915
340,122760,236,0.8548971927165985,0.8509411036968231,-0.010725691355764866,0.15776850590482355
360,129960,236,0.33440898537635805,0.792402470111847,-0.0033735234290361406,0.34804313387721775
380,137160,236,1.3767317569255828,0.6429053902626037,-0.005701426416635513,0.2237777017056942
400,144360,236,1.9077814543247222,0.6849337995052338,-0.004648149013519287,0.38125322964042424
420,151560,236,1.7300566959381103,0.9195579171180726,-0.0037364937365055085,0.06134332120418549
440,158760,236,1.2983735382556916,0.7401621699333191,-0.0031717464327812193,0.21735951751470567
460,165960,236,1.3335578417778016,0.5515093088150025,-0.008208186831325293,0.17793504148721695
480,173160,236,1.3213192355632781,0.715999299287796,-0.0032001592218875883,0.5068555653095246
500,180360,236,1.439386260509491,1.006046175956726,-0.002738261944614351,0.08879046142101288
520,187560,236,1.4597710394859313,0.8230430960655213,-0.006598480045795441,0.352589064091444
540,194760,236,1.7643695241212844,0.7135745763778687,-0.007635397091507912,0.1810166684910655
560,201960,236,2.4135297495126724,0.6164492219686508,-0.012459778785705566,0.08068193551152944
580,209160,236,2.0188122618198396,0.7233173668384552,-0.0037118613719940184,0.47014894280582664
600,216360,236,1.296943987607956,0.6235677182674408,-0.005852897465229034,0.40345448553562163
620,223560,236,0.9411241817474365,0.6957441151142121,-0.009079121050308458,0.06725580375641585
640,230760,236,1.3545301103591918,0.7800744116306305,-0.011275028181262314,0.230212814360857
660,237960,236,1.312409252524376,0.8697682738304138,-0.007792620174586773,0.08416369166225195
680,245160,236,1.686154355406761,0.7862431228160858,-0.00754578486084938,0.11218572817742825
700,252360,236,1.488064285516739,0.6124596655368805,-0.004336769133806229,0.40294670443981884
720,259560,235,1.8457059007883072,0.8036855459213257,-0.00785304680466652,0.01768464483320713
740,266760,235,1.6519757616519928,0.4383657217025757,-0.006011203490197658,0.004088701633736491
760,273960,235,1.7692257952690125,0.42458168268203733,-0.004460594430565834,0.03335775975137949
780,281160,235,2.2641109132766726,0.7156789422035217,-0.011543316580355168,0.040283203683793546
800,288360,234,1.929149838089943,0.6708573937416077,-0.0073863349854946135,0.21091832742094993
820,295560,234,1.9599360460042954,0.6506998121738434,-0.014417564123868942,0.09964631758630275
840,302760,234,1.2163847362995148,0.5526764780282974,-0.008272567391395569,0.1800959413871169
860,309960,233,1.5203758001327514,0.8053486764430999,-0.004911994305439293,0.07150840107351542
880,317160,233,1.641680781841278,0.6677373886108399,-0.007881914079189301,0.44814610909670594
900,324360,233,2.0268030619621276,0.5949149549007415,-0.01118815653026104,0.07384650632739068
920,331560,233,2.2563064754009248,0.6237835764884949,-0.006136088538914919,0.16103103272616864
940,338760,233,2.1500666832923887,0.6013210952281952,-0.004409361816942692,0.26528586000204085
960,345960,233,1.5276384139060974,0.46067674458026886,-0.014388494240120054,0.02432974800467491
980,353160,233,2.2887166333198548,0.4857214897871017,-0.004768107086420059,0.6621645018458366
1000,360360,233,2.033074634075165,0.5238136529922486,-0.013156568631529808,0.37220134735107424
1020,367560,233,0.776058851480484,0.4038104236125946,-0.006187967956066132,0.4226441510021687
1040,374760,233,0.8108461737632752,0.5726003676652909,-0.00943739116191864,0.20435274932533504
1060,381960,233,1.3567477548122406,0.5421058475971222,-0.012972552375867964,0.13291237950325013
1080,389160,233,1.5869054293632507,0.47447005212306975,-0.0072684153914451596,0.14021875374019147
1100,396360,233,1.5185566425323487,0.4631299376487732,-0.004748784564435482,0.016336314287036656
1120,403560,233,1.9736618876457215,0.3547887563705444,-0.006497494503855705,0.40054990295320747
1140,410760,233,2.056324343085289,0.5118260383605957,-0.0018513917922973633,0.33288559354841707
1160,417960,233,1.3847174745798112,0.40371844470500945,-0.009626888471393613,0.18352671526372433
1180,425160,233,1.1384924030303956,0.4992215037345886,-0.005226436257362366,0.09971883576363325
1200,432360,232,0.6103964012861252,0.4305056035518646,-0.0010091301053762435,0.3710416629910469
1220,439560,232,0.6385590761899949,0.3891762584447861,-0.007226243708282709,0.4906157225370407
1240,446760,232,0.7430409836769104,0.4575303912162781,-0.011505105439573527,0.2291548670269549
1260,453960,232,0.5630374097824097,0.8211707770824432,-0.007617556676268578,0.011549238814041018
1280,461160,232,0.3734747684001923,0.49733162820339205,-0.007940662000328303,0.27481194622814653
1300,468360,232,1.1966063618659972,0.5996612697839737,-0.005714921682374552,0.09062143415212631
1320,475560,232,1.2235168462991715,0.36502811312675476,-0.009652614360675216,0.06621022820472718
1340,482760,232,1.2251182758808137,0.5340870320796967,-0.0017911190167069434,0.015207170974463224
1360,489960,232,1.526402542591095,0.6119914203882217,-0.00852460265159607,0.031122662173584104
1380,497160,232,1.448440898656845,0.2721649631857872,-0.00696067214012146,0.10815612201113253
1400,504360,232,1.4577661669254303,0.4007410317659378,-0.002807846665382385,0.40755233727395535
1420,511560,232,1.7360242795944214,0.3966917276382446,-0.0054893575608730314,0.1251445895060897
1440,518760,232,1.4759010982513427,0.4428269386291504,-0.00393884761724621,0.020184668060392142
1460,525960,232,1.137362184524536,0.3113404244184494,-0.00809753816574812,0.11710054613649845
1480,533160,231,1.580119290947914,0.4542692869901657,-0.0069583836942911145,0.037644038535654546
1500,540360,231,1.469322606921196,0.37711289823055266,-0.006394639890640974,0.08949427977204323
1520,547560,231,1.3994374144077302,0.2153640106320381,-0.002961507439613342,0.0625627079512924
