misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
4980,1793160,195,1.8504575848579408,0.4634872555732727,-0.004935082048177719,0.08569616563618183
5000,1800360,195,0.9521920412778855,0.49299911260604856,-0.0031403005123138428,0.1700203012675047
5020,1807560,195,1.3565013879537582,0.4962177097797394,-0.007144239544868469,0.09143301360309124
5040,1814760,195,1.8715460312366485,0.5811691999435424,-0.012924791499972343,0.5136139884591102
5060,1821960,195,1.8552938961982728,0.35781643688678744,-0.006530734151601792,0.04982667751610279
5080,1829160,195,1.4218982803821563,0.39100930392742156,-0.006584326783195138,0.15446982868015766
5100,1836360,196,1.3782314777374267,0.45752809643745423,-0.010301949013955891,0.5577380001544953
5120,1843560,196,1.3367199891805648,0.5309680044651032,-0.00522827582899481,0.06347178444266319
5140,1850760,196,0.9556015545129776,0.6263188064098358,0.0019429180771112441,0.21635072007775308
5160,1857960,196,1.6834135484695434,0.5494075149297715,-0.008851367980241776,0.22560179308056832
5180,1865160,196,2.1062812769412993,0.6297101438045501,-0.008734328486025334,0.080229471065104
5200,1872360,196,2.5864443534612658,0.3948334872722626,-0.010995939373970032,0.3488282942678779
5220,1879560,196,2.5909398299455644,0.5223938882350921,-0.0039513928582891825,0.08951490093022585
5240,1886760,197,2.5078804659843446,0.5438395142555237,-0.011384786665439605,0.09417205546051263
5260,1893960,197,1.9705389159917832,0.727891880273819,-0.010837932676076889,0.03704259898513555
5280,1901160,197,2.1011106300354006,0.4405898153781891,-0.007069814205169678,0.23826687261462212
5300,1908360,197,1.8430366289615632,0.5280911564826966,-0.0014487016946077348,0.07359350062906742
5320,1915560,197,1.18165380358696,0.6896845757961273,-0.0011063544545322657,0.07773252446204423
5340,1922760,197,0.7904190558195114,0.4750776469707489,-0.004549667541868985,0.10329138892702758
5360,1929960,197,1.0026752603054048,0.635088312625885,-0.006149108335375786,0.18436245173215865
5380,1937160,198,0.612277637720108,0.5023902297019959,-0.010603006556630134,0.21139309592545033
5400,1944360,198,0.5088445210456848,0.42583523988723754,-0.002843122184276581,0.2353404328227043
5420,1951560,198,0.39966895163059235,0.3899859458208084,-0.0030354373157024384,0.08081302568316459
5440,1958760,198,0.36103995621204377,0.4495550453662872,-0.007854062877595425,0.17134181717410685
5460,1965960,198,0.8292948287725449,0.48056599497795105,-0.008875823765993118,0.39677081555128096
5480,1973160,198,1.480615765452385,0.34240114241838454,-0.0058635133784264324,0.026445293426513673
5500,1980360,198,1.2150739532709123,0.4481522798538208,-0.006573835667222738,0.05650350395590067
