misc/nupdates,misc/total_timesteps,fps,eprewmean
7780,2801160,41,3.361572100818157
7800,2808360,41,3.359777486026287
7820,2815560,41,3.345261401236057
7840,2822760,41,3.4129585540294647
7860,2829960,41,3.495026264190674
7880,2837160,41,3.5300820556283
7900,2844360,41,3.554293849170208
7920,2851560,41,3.4046522679924967
7940,2858760,41,3.269650319516659
7960,2865960,41,3.284064927995205
7980,2873160,41,3.488484011888504
8000,2880360,41,3.574395791888237
8020,2887560,41,3.5302372393012047
8040,2894760,41,3.5380789867043494
8060,2901960,41,3.8247385397553444
8080,2909160,41,4.007881244122982
8100,2916360,41,3.7484084817767145
8120,2923560,41,3.861360212266445
8140,2930760,41,3.9128926864266393
8160,2937960,41,3.9918982550501823
8180,2945160,41,4.0834888157248495
8200,2952360,41,4.152971117198467
8220,2959560,41,3.891199712455273
8240,2966760,41,3.9327992913126946
8260,2973960,41,3.428678452670574
8280,2981160,41,3.290543452501297
8300,2988360,41,2.8651854050159455
8320,2995560,41,2.553165642619133
8340,3002760,41,2.422970314025879
8360,3009960,41,2.658555055856705
8380,3017160,41,2.543566138446331
8400,3024360,41,2.9403055265545843
8420,3031560,41,2.726041521131992
8440,3038760,41,2.8565410688519477
8460,3045960,41,2.920727573931217
8480,3053160,41,2.602979454994202
8500,3060360,41,2.4992055451869963
8520,3067560,41,2.61536052018404
8540,3074760,40,2.6676339533925058
8560,3081960,40,2.9480195757746697
8580,3089160,40,2.779942425787449
8600,3096360,40,2.967132207453251
8620,3103560,40,2.994020214676857
8640,3110760,40,3.089227996468544
8660,3117960,40,3.1238023763895035
8680,3125160,40,3.1998289757966996
8700,3132360,40,3.287774674296379
8720,3139560,40,3.6358837938308715
8740,3146760,40,3.7274748265743254
8760,3153960,40,3.9680587595701216
8780,3161160,40,3.9819581645727156
8800,3168360,40,3.959878651499748
8820,3175560,40,3.852943422794342
8840,3182760,40,3.902168710231781
8860,3189960,40,3.91072922706604
8880,3197160,40,4.0038706308603285
8900,3204360,40,3.6322842234373094
8920,3211560,40,3.6225625056028368
8940,3218760,40,3.56311048835516
8960,3225960,40,3.566253205835819
8980,3233160,40,3.2950206759572027
9000,3240360,40,2.956682775914669
9020,3247560,41,3.1221882367134093
9040,3254760,41,3.2035875648260115
9060,3261960,41,3.4510072490572927
9080,3269160,41,3.543252617716789
9100,3276360,41,3.2470983171463015
9120,3283560,41,3.7519403636455535
9140,3290760,41,3.8349381750822067
9160,3297960,41,3.729581233561039
9180,3305160,41,3.473560181260109
9200,3312360,41,3.281570399105549
9220,3319560,41,3.5546362999081613
9240,3326760,41,3.712756295502186
9260,3333960,41,3.8782046380639077
9280,3341160,41,3.8177527019381525
9300,3348360,41,4.147407048940659
9320,3355560,41,4.439501150846481
9340,3362760,41,4.418352372050285
9360,3369960,41,4.266422100663185
9380,3377160,41,4.351689307689667
9400,3384360,41,4.163272922039032
9420,3391560,41,4.218228352069855
9440,3398760,41,3.976200844049454
9460,3405960,41,3.6650603359937666
9480,3413160,41,3.833120766878128
9500,3420360,41,3.7915104061365126
9520,3427560,41,3.8999200162291525
9540,3434760,41,4.041467588841915
9560,3441960,41,3.9947334381937982
9580,3449160,41,4.160265064239502
9600,3456360,41,4.198743869066238
9620,3463560,41,4.148334120512009
9640,3470760,41,4.17365067332983
9660,3477960,41,4.0388353607058525
9680,3485160,41,3.7695232912898065
9700,3492360,41,3.6052275040745734
9720,3499560,41,3.764083843231201
9740,3506760,41,3.6286028635501864
9760,3513960,41,3.6765133893489836
9780,3521160,41,3.604873502254486
9800,3528360,41,4.039922468662262
9820,3535560,41,3.9810655188560484
9840,3542760,41,3.7607827657461166
9860,3549960,41,3.9183080953359606
9880,3557160,41,3.873038199543953
9900,3564360,41,3.9081146532297133
9920,3571560,41,3.8945281177759172
9940,3578760,41,3.93289837539196
9960,3585960,41,4.184632089138031
9980,3593160,41,4.29499840259552
10000,3600360,41,3.9986551892757416
10020,3607560,41,4.214076629281044
10040,3614760,41,4.398302040696144
10060,3621960,41,4.385773854851723
10080,3629160,41,4.323601392507553
10100,3636360,41,4.068705459833145
10120,3643560,41,4.3495846104621885
10140,3650760,41,4.336756264567375
10160,3657960,41,4.111154696345329
10180,3665160,41,3.8951267409324646
10200,3672360,41,3.95800250351429
10220,3679560,41,4.054308077692985
10240,3686760,41,4.105715256631374
10260,3693960,41,4.046427884399891
10280,3701160,41,3.9362797489762307
10300,3708360,41,3.6883160904049874
10320,3715560,41,3.626435115635395
10340,3722760,41,3.7664760342240333
10360,3729960,41,3.8622453320026398
10380,3737160,41,3.885091683268547
10400,3744360,41,3.7279311525821686
10420,3751560,41,3.7725280743837355
10440,3758760,41,3.9046932035684585
10460,3765960,41,4.102212339043617
10480,3773160,41,3.8547597390413286
10500,3780360,41,3.8710696417093278
10520,3787560,41,3.9183155423402787
10540,3794760,41,3.708381794691086
10560,3801960,41,4.005728245973587
10580,3809160,41,3.9797388637065887
10600,3816360,41,3.7014037275314333
10620,3823560,41,3.2314676988124846
10640,3830760,41,3.236367564201355
10660,3837960,41,3.334061260223389
10680,3845160,41,3.434063013792038
10700,3852360,41,3.390454125404358
10720,3859560,41,3.7063582909107207
10740,3866760,41,4.047115938663483
10760,3873960,41,4.471959722042084
10780,3881160,41,4.3619888198375705
10800,3888360,41,4.141813617944718
10820,3895560,41,4.073429099321365
10840,3902760,41,4.030881397724151
10860,3909960,41,3.9856897497177126
10880,3917160,41,3.945895949602127
10900,3924360,41,4.096635496020317
10920,3931560,41,4.379664037823677
10940,3938760,41,4.202680026590824
10960,3945960,41,4.330485499203205
10980,3953160,41,4.278264842331409
11000,3960360,41,4.378444774448871
11020,3967560,41,3.970940082371235
11040,3974760,41,3.7166773852705957
11060,3981960,41,3.9122559636831284
11080,3989160,41,3.970174504518509
11100,3996360,41,4.128013113737106
11120,4003560,41,4.154181474447251
11140,4010760,41,4.361485828459263
11160,4017960,41,4.3072862175107005
11180,4025160,41,4.329269410669804
11200,4032360,41,4.108718773424625
11220,4039560,41,4.070897746384144
11240,4046760,41,3.91808286100626
11260,4053960,41,3.6224122539162638
11280,4061160,41,3.251796298623085
11300,4068360,41,3.6197928577661513
11320,4075560,41,3.6366533213853836
11340,4082760,41,3.747565184235573
11360,4089960,41,3.9763275569677354
11380,4097160,41,4.289196210503579
11400,4104360,41,4.760988550186157
11420,4111560,41,4.913004570603371
11440,4118760,41,4.791950563192367
11460,4125960,41,4.585370374917984
11480,4133160,41,4.433333072066307
11500,4140360,41,4.0565828159451485
11520,4147560,41,3.5552251914143564
11540,4154760,41,3.469988850057125
11560,4161960,41,3.52000629812479
11580,4169160,41,3.6431694445014
11600,4176360,41,3.8439366593956947
11620,4183560,41,3.9652251571416857
11640,4190760,41,3.992251245379448
11660,4197960,41,3.9682727777957916
11680,4205160,41,3.8827992391586306
11700,4212360,41,3.753662464618683
11720,4219560,41,3.635988879203796
11740,4226760,41,3.7038346886634828
11760,4233960,41,3.763861354589462
11780,4241160,41,3.725653725862503
11800,4248360,41,3.9496516358852385
11820,4255560,41,4.082941315174103
11840,4262760,41,4.020380399227142
11860,4269960,41,3.766181344985962
11880,4277160,41,3.6191965025663375
11900,4284360,41,3.8980298680067063
11920,4291560,41,4.153633185327053
11940,4298760,41,3.850480692088604
11960,4305960,41,3.917265795171261
11980,4313160,41,3.999494535923004
12000,4320360,41,4.230625248253346
12020,4327560,41,4.267484093010426
12040,4334760,41,4.198448195755482
12060,4341960,41,4.353656376004219
12080,4349160,41,4.41599404335022
12100,4356360,41,4.283369364738465
12120,4363560,41,4.260495940446853
12140,4370760,41,4.177177513837814
12160,4377960,41,4.351340219974518
12180,4385160,41,4.33535386800766
12200,4392360,41,4.532217452526092
12220,4399560,41,4.277306594848633
12240,4406760,41,4.359861694574356
12260,4413960,41,4.644719763994217
12280,4421160,41,4.691285818815231
12300,4428360,41,4.540308368206024
12320,4435560,41,4.445169170796871
12340,4442760,41,4.331683882176876
12360,4449960,41,4.585635978877544
12380,4457160,41,4.469521941840648
12400,4464360,41,4.405541891753674
12420,4471560,41,4.334282377660275
12440,4478760,41,4.400874627828598
12460,4485960,41,4.273994039297104
12480,4493160,41,4.400134171247482
12500,4500360,41,4.292558290958405
12520,4507560,41,3.9883209574222565
12540,4514760,41,4.0828176009655
12560,4521960,41,4.0238815987110135
12580,4529160,41,4.115378390550614
12600,4536360,41,3.910575916171074
12620,4543560,41,4.03043553173542
12640,4550760,41,4.486174266934395
12660,4557960,41,4.242273990213871
12680,4565160,41,4.167908082306385
12700,4572360,41,4.217422432899475
12720,4579560,41,4.069402414560318
12740,4586760,41,3.8740160554647445
12760,4593960,41,4.034447631239891
12780,4601160,41,4.10942870348692
12800,4608360,41,4.243726703822613
12820,4615560,41,4.3322629129886625
12840,4622760,41,4.600789869427681
12860,4629960,41,4.727428901195526
12880,4637160,41,4.641868106126785
12900,4644360,41,4.699507058858871
12920,4651560,41,4.530279932022094
12940,4658760,41,4.555745444595813
12960,4665960,41,4.28886405557394
12980,4673160,41,4.15685441672802
13000,4680360,41,4.110008003711701
13020,4687560,41,3.9267250311374666
13040,4694760,41,3.8819349712133406
13060,4701960,41,3.6917971676588057
13080,4709160,41,3.66589718490839
13100,4716360,41,3.550087058544159
13120,4723560,41,3.747507393360138
13140,4730760,41,3.942161138057709
13160,4737960,41,4.117207747101784
13180,4745160,41,4.034279346764087
13200,4752360,41,4.088607586920261
13220,4759560,41,4.006528176367283
13240,4766760,41,3.9499011185765265
13260,4773960,41,3.717914951145649
13280,4781160,41,3.4573520705103875
13300,4788360,41,3.3098618429899216
13320,4795560,41,3.458337672352791
13340,4802760,41,3.4632686123251917
13360,4809960,41,3.77443746060133
13380,4817160,41,3.6795672777295114
13400,4824360,41,4.0917326602339745
13420,4831560,41,4.213395626842976
13440,4838760,41,4.088340549170971
13460,4845960,41,3.956164754331112
13480,4853160,41,4.039036889374256
13500,4860360,41,4.144303882420063
13520,4867560,41,4.283365705311298
13540,4874760,41,4.29789135992527
13560,4881960,41,4.228175617754459
13580,4889160,41,4.149490033090115
13600,4896360,41,4.227079289853573
13620,4903560,41,4.181307392120361
13640,4910760,41,3.961243989467621
13660,4917960,41,3.822236334979534
13680,4925160,41,3.4645224052667616
13700,4932360,41,3.579646139740944
13720,4939560,41,3.541952651143074
13740,4946760,41,3.56812040746212
13760,4953960,41,3.597323729395866
13780,4961160,41,3.9483538275957106
13800,4968360,41,4.048056371212006
13820,4975560,41,4.271809026002884
13840,4982760,41,4.361788508892059
13860,4989960,41,4.489184713959694
13880,4997160,41,4.214378922581672
13900,5004360,41,4.2263182801008226
13920,5011560,41,4.4094182831048965
13940,5018760,41,4.331393141150475
13960,5025960,41,4.178587283492089
13980,5033160,41,4.0953788954019545
14000,5040360,41,4.275130531787872
14020,5047560,41,4.199924076497555
14040,5054760,41,3.8626514026522636
14060,5061960,41,3.8074814876914025
14080,5069160,41,3.957829940021038
14100,5076360,41,3.5026654314994814
14120,5083560,41,3.4260052144527435
14140,5090760,41,3.386534598171711
14160,5097960,41,3.656264128983021
14180,5105160,41,3.9146617245674133
14200,5112360,41,3.687244549393654
14220,5119560,41,3.7843637624382973
14240,5126760,41,4.038228471577168
14260,5133960,41,4.421484643518925
14280,5141160,41,4.371638372838497
14300,5148360,41,4.330674181580544
14320,5155560,41,4.444580799937248
14340,5162760,41,4.841061329841613
14360,5169960,41,4.8777754577994346
14380,5177160,41,4.613675845563412
14400,5184360,41,4.631767779290676
14420,5191560,41,4.5646852388978
14440,5198760,41,4.464334120452404
14460,5205960,41,4.413393672406674
14480,5213160,41,4.219126409292221
14500,5220360,41,4.053471666574478
14520,5227560,41,4.053876829743385
14540,5234760,41,3.7809705191850664
14560,5241960,41,3.849819719195366
14580,5249160,41,3.93185380756855
14600,5256360,41,3.8015555047988894
14620,5263560,41,4.082784913778305
14640,5270760,41,4.350702460408211
14660,5277960,41,4.231324325203896
14680,5285160,41,4.29114623606205
14700,5292360,41,4.346600854992866
14720,5299560,41,4.333298615813256
14740,5306760,41,4.557808445096016
14760,5313960,41,4.3135787791013716
14780,5321160,41,4.298995529711246
14800,5328360,41,4.559966755211353
14820,5335560,41,4.329846393167973
14840,5342760,41,4.218040110170842
14860,5349960,41,4.122918338477612
14880,5357160,41,4.1536402294039725
14900,5364360,41,4.197837448716164
14920,5371560,41,4.256020157933235
14940,5378760,41,4.107829620242119
14960,5385960,41,4.298546409010887
14980,5393160,41,4.486886135935784
15000,5400360,41,4.627843771576881
15020,5407560,41,4.603027167916298
15040,5414760,41,4.693652722835541
15060,5421960,41,4.803044716119766
15080,5429160,41,4.735597547292709
15100,5436360,41,4.736493729352951
15120,5443560,41,4.671429380178451
15140,5450760,41,4.529689735174179
15160,5457960,41,4.454054820537567
15180,5465160,41,4.500499706268311
15200,5472360,41,4.789790498018265
15220,5479560,41,4.585998522043228
15240,5486760,41,4.325347446799278
15260,5493960,41,4.282497418522834
15280,5501160,41,4.626749351620674
15300,5508360,41,4.6894233006238935
15320,5515560,41,4.464315373301506
15340,5522760,41,4.377925563454628
15360,5529960,41,4.514004492759705
15380,5537160,41,4.565129581689835
15400,5544360,41,4.421191222667694
15420,5551560,41,4.298911718130111
15440,5558760,41,4.110733180046082
15460,5565960,41,3.9844663631916046
15480,5573160,41,3.963649226427078
15500,5580360,41,4.131537960767746
15520,5587560,41,3.6574234557151795
15540,5594760,41,3.8389989882707596
15560,5601960,41,3.7562855786085128
15580,5609160,41,3.773684257864952
15600,5616360,41,3.623626381754875
15620,5623560,41,3.3047387701272966
15640,5630760,41,3.26271313726902
15660,5637960,41,3.4472682237625123
15680,5645160,41,3.473336454629898
15700,5652360,41,3.6219900572299957
15720,5659560,41,3.332068921327591
15740,5666760,41,3.5453316986560823
15760,5673960,41,3.3259633886814117
15780,5681160,41,3.254284027516842
15800,5688360,41,3.140669635236263
15820,5695560,41,3.2684273120760916
15840,5702760,41,3.524189427793026
15860,5709960,41,3.5078069666028022
15880,5717160,41,3.3948048800230026
15900,5724360,41,3.822489351928234
15920,5731560,41,3.8041947653889654
15940,5738760,41,3.645968616306782
15960,5745960,41,3.0584492948651314
