misc/nupdates,misc/total_timesteps,fps,eprewmean
4860,1749960,39,-0.09397003024816514
4880,1757160,39,-0.2174754673242569
4900,1764360,39,-0.24002658396959306
4920,1771560,39,-0.4968228080868721
4940,1778760,39,-0.45399211257696154
4960,1785960,39,-0.6851720032095909
4980,1793160,39,-0.5966649350523948
5000,1800360,39,-0.40647455453872683
5020,1807560,39,-0.3331192421913147
5040,1814760,39,-0.49943131566047666
5060,1821960,39,-0.7020892968773842
5080,1829160,39,-0.3330943867564201
5100,1836360,39,-0.19154739052057265
5120,1843560,39,-0.2014360186457634
5140,1850760,39,-0.09136140584945679
5160,1857960,39,0.2808834379911423
5180,1865160,39,0.5817357286810875
5200,1872360,39,0.27483861178159713
5220,1879560,39,0.18743611365556717
5240,1886760,39,0.26655850499868394
5260,1893960,39,0.6877957898378372
5280,1901160,39,0.7556703811883927
5300,1908360,39,0.39728238344192507
5320,1915560,39,0.5308782079815865
5340,1922760,39,0.8161189189553261
5360,1929960,39,0.8670828598737716
5380,1937160,39,0.6843135416507721
5400,1944360,39,0.34133656084537506
5420,1951560,39,0.3991590115427971
5440,1958760,39,0.5346704268455506
5460,1965960,39,0.15063494831323623
5480,1973160,39,-0.05956535249948502
5500,1980360,39,-0.16630477964878082
5520,1987560,39,-0.2616951537132263
5540,1994760,39,-0.5908565384149551
5560,2001960,39,-0.8035794654488564
5580,2009160,39,-0.972162299156189
5600,2016360,39,-0.80745102673769
5620,2023560,39,-0.6977581289410592
5640,2030760,39,-0.7523923906683921
5660,2037960,39,-0.7683707538247109
5680,2045160,39,-0.6089476802945137
5700,2052360,39,-0.45502857834100724
5720,2059560,39,-0.29889144986867905
5740,2066760,39,-0.30168205946683885
5760,2073960,39,-0.4347834584116936
5780,2081160,39,-0.42174591571092607
5800,2088360,39,-0.4955196753144264
5820,2095560,39,-0.4321471717953682
5840,2102760,39,-0.5034616172313691
5860,2109960,39,-0.6053263008594513
5880,2117160,39,-0.47537783622741697
5900,2124360,39,-0.6146295318007469
5920,2131560,39,-0.43317351907491686
5940,2138760,39,-0.5803072375059127
5960,2145960,39,-0.31369743168354036
5980,2153160,39,-0.07447631001472473
6000,2160360,39,0.21277420938014985
6020,2167560,39,0.1810644355416298
6040,2174760,39,0.24852207213640212
6060,2181960,39,0.29223049819469454
6080,2189160,39,0.44649044662714005
6100,2196360,39,0.5221339330077172
6120,2203560,39,0.3685482951998711
6140,2210760,39,0.3982712262868881
6160,2217960,39,0.5273579329252243
6180,2225160,39,0.6928907242417336
6200,2232360,39,0.2970160749554634
6220,2239560,39,0.172751701772213
6240,2246760,39,0.14058240681886672
6260,2253960,39,0.010516093373298644
6280,2261160,39,0.008545079231262208
6300,2268360,39,-0.1298446387052536
6320,2275560,39,0.11935575067996979
6340,2282760,39,0.02189339905977249
6360,2289960,39,-0.019252701699733733
6380,2297160,39,-0.18903589129447937
6400,2304360,39,-0.5316575890779496
6420,2311560,39,-0.5338181269168853
6440,2318760,39,-0.6873471337556839
6460,2325960,39,-0.6387081307172775
6480,2333160,39,-0.6389209130406379
6500,2340360,39,-0.4155959537625313
6520,2347560,39,-0.11515645802021027
6540,2354760,39,-0.10780171334743499
6560,2361960,39,-0.24063516199588775
6580,2369160,39,-0.09814717829227447
6600,2376360,39,-0.24872832715511323
6620,2383560,39,-0.4515401762723923
6640,2390760,39,-0.3708650243282318
6660,2397960,39,-0.2555937099456787
6680,2405160,39,-0.2967740571498871
6700,2412360,39,-0.19301028072834014
6720,2419560,39,0.012055282592773437
6740,2426760,39,0.7069189673662186
6760,2433960,39,0.6802189910411834
6780,2441160,39,1.0606489530205727
6800,2448360,39,1.2180061468482017
6820,2455560,39,1.2673472592234611
6840,2462760,39,1.286435662806034
6860,2469960,39,1.3950762528181075
6880,2477160,39,1.3027687484025956
6900,2484360,39,0.9817870965600014
6920,2491560,39,0.829996552169323
6940,2498760,39,0.9375646540522575
6960,2505960,39,0.9978015917539597
6980,2513160,39,0.9713605067133904
7000,2520360,39,0.7304386913776397
7020,2527560,39,0.7358902424573899
7040,2534760,39,0.5551218175888062
7060,2541960,39,0.6820092970132827
7080,2549160,39,0.5307444980740548
7100,2556360,39,-0.08176681458950043
7120,2563560,39,0.00526276707649231
7140,2570760,39,-0.06912916779518127
7160,2577960,39,0.14826761603355407
7180,2585160,39,0.11419334411621093
7200,2592360,39,0.16919887125492095
7220,2599560,39,0.6332065829634667
7240,2606760,39,0.7741010349988937
7260,2613960,39,0.756551724076271
7280,2621160,39,0.7272588574886322
7300,2628360,39,0.6769950738549233
7320,2635560,39,0.7325752440094948
7340,2642760,39,0.8566020599007607
7360,2649960,39,0.520133535861969
7380,2657160,39,0.3967773258686066
7400,2664360,39,0.12259474635124207
7420,2671560,39,0.2244601231813431
7440,2678760,39,0.5193802517652512
7460,2685960,39,0.3596792197227478
7480,2693160,39,0.46449106752872465
7500,2700360,39,0.4986879727244377
7520,2707560,39,0.4574589106440544
7540,2714760,39,0.2575404745340347
7560,2721960,39,-0.06986312448978424
7580,2729160,39,-0.2725668978691101
7600,2736360,39,-0.559309321641922
7620,2743560,39,-0.5210594576597214
7640,2750760,39,-0.24154459238052367
7660,2757960,39,-0.16139304459095002
7680,2765160,39,-0.03925280928611755
7700,2772360,39,0.37194557428359987
7720,2779560,39,0.5902356445789337
7740,2786760,39,0.701948589682579
7760,2793960,39,0.9408661079406738
7780,2801160,39,0.8726763936877251
7800,2808360,39,1.0663933578133582
7820,2815560,39,0.867565898001194
7840,2822760,39,0.6022524955868721
7860,2829960,39,0.5079533842206001
7880,2837160,39,0.738402980864048
7900,2844360,40,0.3193575778603554
7920,2851560,40,0.24824512869119644
7940,2858760,40,0.14310662180185318
7960,2865960,40,0.11398127764463424
7980,2873160,40,0.31519712299108504
8000,2880360,40,-0.23221244901418686
8020,2887560,40,0.3240796336531639
8040,2894760,40,0.5924082824587822
8060,2901960,40,0.7905821439623832
8080,2909160,40,1.1127549424767493
8100,2916360,40,0.8725585541129113
8120,2923560,40,1.0717251834273338
8140,2930760,40,1.018397363424301
8160,2937960,40,1.0042329877614975
8180,2945160,40,0.24988826036453246
8200,2952360,40,0.08216835618019104
8220,2959560,40,-0.19857901394367217
8240,2966760,40,-0.08637621700763702
8260,2973960,40,-0.1335576194524765
8280,2981160,40,0.06262418866157532
8300,2988360,40,0.23514499366283417
8320,2995560,40,0.569454635977745
8340,3002760,40,0.9760828325152398
8360,3009960,40,0.9885674032568932
8380,3017160,40,1.155706014931202
8400,3024360,40,0.9621581876277924
8420,3031560,40,0.3014537811279297
8440,3038760,40,0.34415092676877973
8460,3045960,40,0.23485216945409776
8480,3053160,40,0.2087492462992668
8500,3060360,40,0.25672276943922046
8520,3067560,40,0.2972195088863373
8540,3074760,40,0.4803514671325684
8560,3081960,40,0.8647383174300194
8580,3089160,40,0.5094420546293259
8600,3096360,40,0.10545213639736176
8620,3103560,40,0.09753254234790802
8640,3110760,40,-0.03713360667228699
8660,3117960,40,-0.1486680316925049
8680,3125160,40,-0.5838347283005715
8700,3132360,40,-0.22389681607484818
8720,3139560,40,-0.04773644626140595
8740,3146760,40,0.312470064163208
8760,3153960,40,0.3141418045759201
8780,3161160,40,0.44815071880817414
8800,3168360,40,1.1913993808627128
8820,3175560,40,1.0534829515218735
8840,3182760,40,1.0368921166658402
8860,3189960,40,1.0574416813254357
8880,3197160,40,0.9844901970028878
8900,3204360,40,0.871554688513279
8920,3211560,40,0.38229412883520125
8940,3218760,40,0.12719288021326064
8960,3225960,40,0.08411261886358261
8980,3233160,40,0.046327418982982635
9000,3240360,40,-0.2052062752842903
9020,3247560,40,0.011656735837459565
9040,3254760,40,0.2855059322714806
9060,3261960,40,0.1339947172999382
9080,3269160,40,-0.0344555726647377
9100,3276360,40,-0.08642401307821274
9120,3283560,40,-0.08738158434629441
9140,3290760,40,-0.1677407106757164
9160,3297960,40,-0.22473628371953963
9180,3305160,40,-0.21051560819149018
9200,3312360,40,0.0026869255304336546
9220,3319560,40,0.31680569738149644
9240,3326760,40,0.5786869215965271
9260,3333960,40,1.0017139559984207
9280,3341160,40,1.4336480492353438
9300,3348360,40,1.458595416843891
9320,3355560,40,1.2763820603489875
9340,3362760,40,1.144399348795414
9360,3369960,40,1.2313658809661865
9380,3377160,40,0.8774749061465263
9400,3384360,40,0.3800771269202232
9420,3391560,40,0.26025344520807264
9440,3398760,40,0.008005631566047668
9460,3405960,40,-0.08697452783584594
9480,3413160,40,-0.1562492036819458
9500,3420360,40,-0.25032673716545106
9520,3427560,40,-0.2062758469581604
9540,3434760,40,0.08862404227256775
9560,3441960,40,0.4294030356407166
9580,3449160,40,0.9847020652890205
9600,3456360,40,0.7194728973507881
9620,3463560,40,0.4739607322216034
9640,3470760,40,0.6878229513764381
9660,3477960,40,0.6950815802812577
9680,3485160,40,0.3869305944442749
9700,3492360,40,0.25455148339271544
9720,3499560,40,0.36869877725839617
9740,3506760,40,0.5946856099367142
9760,3513960,40,0.9670760709047318
9780,3521160,40,0.8248302108049392
9800,3528360,40,0.7947172117233277
9820,3535560,40,0.9046370485424995
9840,3542760,40,0.612018141746521
9860,3549960,40,0.13883669316768646
9880,3557160,40,0.1396735441684723
9900,3564360,40,0.4813427498936653
9920,3571560,40,0.1567351758480072
9940,3578760,40,-0.04789594829082489
9960,3585960,40,-0.38473125457763674
9980,3593160,40,-0.2606412547826767
10000,3600360,40,0.08076591014862061
10020,3607560,40,-0.2019408744573593
10040,3614760,40,0.003753478825092316
10060,3621960,40,-0.02755516141653061
10080,3629160,40,0.1214173886179924
10100,3636360,40,0.11171865731477737
10120,3643560,40,0.19224077016115187
10140,3650760,40,0.004775127470493317
10160,3657960,40,0.060119833946228024
10180,3665160,40,0.16600799381732942
10200,3672360,40,0.09311235308647156
10220,3679560,40,0.2008092737197876
10240,3686760,40,0.6717747294902802
10260,3693960,40,0.5452152806520462
10280,3701160,40,0.5069191747903824
10300,3708360,40,0.4168135291337967
10320,3715560,40,0.3891007119417191
10340,3722760,40,0.3299142479896545
10360,3729960,40,-0.06650842666625977
10380,3737160,40,-0.15732731729745864
10400,3744360,40,-0.033191674649715425
10420,3751560,40,-0.05209197968244553
10440,3758760,40,-0.02385881543159485
10460,3765960,40,0.10354885041713714
10480,3773160,40,0.5211212056875228
10500,3780360,40,0.524550019800663
10520,3787560,40,0.36885988503694533
10540,3794760,40,0.5137967339158058
10560,3801960,40,0.6804988506436348
10580,3809160,40,0.7916646751761437
10600,3816360,40,0.5921872517466545
10620,3823560,40,0.4347090518474579
10640,3830760,40,0.6557201099395752
10660,3837960,40,0.4425683748722076
10680,3845160,40,0.4062721011042595
10700,3852360,40,0.23744110405445099
10720,3859560,40,0.34984585881233216
10740,3866760,40,0.32229262053966523
10760,3873960,40,0.7111578506231307
10780,3881160,40,0.7605976071953774
10800,3888360,40,0.48416608572006226
10820,3895560,40,0.472296182513237
10840,3902760,40,0.4265483921766281
10860,3909960,40,0.39338395357131956
10880,3917160,40,0.2911258569359779
10900,3924360,40,-0.08987220227718354
10920,3931560,40,-0.07290840208530426
10940,3938760,40,0.02018953025341034
10960,3945960,40,-0.07595185667276383
10980,3953160,40,0.13333710998296738
11000,3960360,40,0.07605401664972306
11020,3967560,40,0.06405951589345932
11040,3974760,40,-0.04029642850160599
11060,3981960,40,-0.026006048023700715
11080,3989160,40,0.192667396068573
11100,3996360,40,-0.06202713847160339
11120,4003560,40,0.22178536891937256
11140,4010760,40,-0.03344683408737183
11160,4017960,40,0.09635543763637543
11180,4025160,40,0.525725566148758
11200,4032360,40,0.5900642716884613
11220,4039560,40,0.735186696946621
11240,4046760,40,0.7719456246495247
11260,4053960,40,0.7292146196961403
