misc/nupdates,misc/total_timesteps,fps,eprewmean
20,7560,37,-1.0544719775517781
40,14760,36,-1.6863045930862426
60,21960,36,-1.8145397181312244
80,29160,35,-1.9075542092323303
100,36360,35,-1.8281849658632854
120,43560,35,-1.8719233740121126
140,50760,36,-2.0568696600198746
160,57960,36,-2.0277853810787203
180,65160,36,-2.024542897939682
200,72360,36,-1.9734645158052444
220,79560,36,-1.9999747687578202
240,86760,36,-2.0297593969106673
260,93960,36,-1.9372093936800956
280,101160,36,-1.9620852056145668
300,108360,36,-1.9664008274674416
320,115560,37,-1.9131501406431197
340,122760,37,-1.9410200667381288
360,129960,37,-1.9415151810646056
380,137160,37,-1.967167292535305
400,144360,37,-1.9147881975769996
420,151560,37,-1.852864102423191
440,158760,37,-1.8775496464967727
460,165960,37,-1.8979490432143211
480,173160,37,-1.8787929990887642
500,180360,37,-1.9319861176609994
520,187560,37,-1.8591602590680123
540,194760,37,-1.9671639868617057
560,201960,37,-1.9723536121845244
580,209160,37,-1.9293470051884651
600,216360,37,-1.9458539327979087
620,223560,37,-1.9430252346396446
640,230760,37,-2.0169251427054404
660,237960,37,-2.017791505753994
680,245160,37,-1.993221860229969
700,252360,37,-1.9862819063663482
720,259560,37,-1.9632626569271088
740,266760,37,-1.993595700263977
760,273960,37,-1.9377287527918816
780,281160,37,-1.9099557319283484
800,288360,37,-1.8586759307980538
820,295560,37,-1.8859974411129952
840,302760,37,-1.9362109792232514
860,309960,37,-1.9591001430153847
880,317160,37,-1.9591664850711823
900,324360,37,-1.936290425658226
920,331560,37,-2.010960525274277
940,338760,37,-2.014469414949417
960,345960,37,-2.0164983713626863
980,353160,37,-1.9605926913022995
1000,360360,37,-1.9898090380430222
1020,367560,37,-2.0418733763694763
1040,374760,37,-2.0156807297468187
1060,381960,37,-1.9838929200172424
1080,389160,37,-1.9273065578937532
1100,396360,37,-1.9269326555728912
1120,403560,37,-1.9250770246982574
1140,410760,37,-1.9223778676986694
1160,417960,37,-1.9560877472162246
1180,425160,37,-1.9853747361898422
